PLT_CN,INVYR,LAT,LON,ELEV,COUNTYCD,canopy_cover_pct,basal_area,total_understory_cover,seedling_tpa,ground_veg_cover,vegetation_density
412222923489998,2017,35.208975,-117.205011,3100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558628063126144,2019,35.212745,-117.14921,3100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412220535489998,2017,35.214334,-120.127609,3300.0,79,0.0,0.0,0.0,0.0,0.0,0.0
645306894126144,2020,35.21475,-118.265132,5900.0,29,0.0,0.0,0.0,0.0,0.0,0.0
412220044489998,2017,35.216551,-115.891982,2300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627977126144,2019,35.217574,-115.839879,2700.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627915126144,2019,35.218835,-115.554042,4300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627965126144,2019,35.219163,-115.257305,4900.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306895126144,2020,35.219465,-117.991772,2300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
645306945126144,2020,35.219536,-115.13018,4100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
484816716489998,2018,35.220542,-120.72357,700.0,79,70.0,147.7104,73.64772727272728,299.861129,0.0,49.05
412222651489998,2017,35.221124,-119.397061,500.0,29,0.0,0.0,0.0,0.0,0.0,0.0
412220171489998,2017,35.222017,-115.608155,4500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412221418489998,2017,35.222658,-116.910827,3300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
484816961489998,2018,35.22388,-118.474412,3700.0,29,30.0,9.5637,59.25,74.965282,0.0,19.75
558627873126144,2019,35.223957,-116.853237,3900.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306892126144,2020,35.226651,-118.700947,1900.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484816968489998,2018,35.228683,-117.757069,3100.0,29,0.0,0.0,0.0,0.0,0.0,0.0
412221952489998,2017,35.229578,-115.016044,4700.0,71,0.0,0.0,0.0,0.0,0.0,0.0
484816943489998,2018,35.230563,-118.794428,500.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484816705489998,2018,35.230745,-120.013375,300.0,79,0.0,0.0,0.0,0.0,0.0,0.0
558628048126144,2019,35.231924,-114.963552,2500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306880126144,2020,35.232151,-120.623208,300.0,79,0.0,0.0,0.0,0.0,0.0,0.0
645306906126144,2020,35.232363,-117.698877,2900.0,29,0.0,0.0,0.0,0.0,0.0,0.0
412220864489998,2017,35.233058,-116.624194,2300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
484816966489998,2018,35.233822,-118.046383,2300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
